銀行コード,銀行名（漢字）,銀行名（カタカナ）,支店コード,支店名（漢字）,支店名（カタカナ）
0001,みずほ,ミズホ,168,ジャックス,ジヤツクス
0001,みずほ,ミズホ,169,蓮根,ハスネ
0001,みずほ,ミズホ,170,沼袋,ヌマブクロ
0001,みずほ,ミズホ,172,鷺宮,サギノミヤ
0001,みずほ,ミズホ,174,中野坂上,ナカノサカウエ
0001,みずほ,ミズホ,175,亀戸,カメイド
0001,みずほ,ミズホ,176,葛飾,カツシカ
0001,みずほ,ミズホ,177,小松川,コマツガワ
0001,みずほ,ミズホ,178,亀有,カメアリ
0001,みずほ,ミズホ,179,綾瀬,アヤセ
0001,みずほ,ミズホ,181,高井戸出張所,タカイド
0001,みずほ,ミズホ,182,高円寺,コウエンジ
0001,みずほ,ミズホ,184,浜田山,ハマダヤマ
0001,みずほ,ミズホ,186,品川駅前,シナガワエキマエ
0001,みずほ,ミズホ,188,恵比寿,エビス
0001,みずほ,ミズホ,193,大塚,オオツカ
0001,みずほ,ミズホ,194,目黒,メグロ
0001,みずほ,ミズホ,195,品川,シナガワ
0001,みずほ,ミズホ,196,大森,オオモリ
0001,みずほ,ミズホ,197,蒲田,カマタ
0001,みずほ,ミズホ,198,馬込,マゴメ
0001,みずほ,ミズホ,199,高輪台,タカナワダイ
0001,みずほ,ミズホ,200,十条,ジユウジヨウ
0001,みずほ,ミズホ,203,赤羽,アカバネ
0001,みずほ,ミズホ,207,市ヶ谷,イチガヤ
0001,みずほ,ミズホ,209,新宿新都心,シンジユクシントシン
0001,みずほ,ミズホ,210,渋谷,シブヤ
0001,みずほ,ミズホ,211,青山,アオヤマ
0001,みずほ,ミズホ,212,世田谷,セタガヤ
0001,みずほ,ミズホ,213,北沢,キタザワ
0001,みずほ,ミズホ,216,荏原,エバラ
0001,みずほ,ミズホ,217,志村,シムラ
0001,みずほ,ミズホ,220,烏山,カラスヤマ
0001,みずほ,ミズホ,221,祖師谷,ソシガヤ
0001,みずほ,ミズホ,223,春日部,カスカベ
0001,みずほ,ミズホ,224,祐天寺,ユウテンジ
0001,みずほ,ミズホ,225,桜台,サクラダイ
0001,みずほ,ミズホ,226,石神井,シヤクジイ
0001,みずほ,ミズホ,228,大泉,オオイズミ
0001,みずほ,ミズホ,229,池袋西口,イケブクロニシグチ
0001,みずほ,ミズホ,230,池袋,イケブクロ
0001,みずほ,ミズホ,235,根津,ネヅ
0001,みずほ,ミズホ,236,動坂,ドウザカ
0001,みずほ,ミズホ,237,練馬富士見台,ネリマフジミダイ
0001,みずほ,ミズホ,238,東武練馬,トウブネリマ
0001,みずほ,ミズホ,239,成増,ナリマス
0001,みずほ,ミズホ,240,新宿,シンジユク
0001,みずほ,ミズホ,242,金町,カナマチ
0001,みずほ,ミズホ,243,中野北口,ナカノキタグチ
0001,みずほ,ミズホ,244,荻窪,オギクボ
0001,みずほ,ミズホ,245,西荻窪,ニシオギクボ
0001,みずほ,ミズホ,246,吉祥寺,キチジヨウジ
0001,みずほ,ミズホ,247,三鷹,ミタカ
0001,みずほ,ミズホ,248,方南町,ホウナンチヨウ
0001,みずほ,ミズホ,249,中井,ナカイ
0001,みずほ,ミズホ,250,平井,ヒライ
0001,みずほ,ミズホ,251,高円寺北口,コウエンジキタグチ
0001,みずほ,ミズホ,253,東京ファッションタウン出張所,トウキヨウフアツシヨンタウン
0001,みずほ,ミズホ,254,長房出張所,ナガフサ
0001,みずほ,ミズホ,255,八坂,ヤサカ
0001,みずほ,ミズホ,257,多摩センター,タマセンタ－
0001,みずほ,ミズホ,258,狛江,コマエ
0001,みずほ,ミズホ,260,八王子,ハチオウジ
0001,みずほ,ミズホ,261,調布,チヨウフ
0001,みずほ,ミズホ,262,ひばりが丘,ヒバリガオカ
0001,みずほ,ミズホ,270,日野,ヒノ
0001,みずほ,ミズホ,271,田無,タナシ
0001,みずほ,ミズホ,272,調布仙川,チヨウフセンガワ
0001,みずほ,ミズホ,273,川越,カワゴエ
0001,みずほ,ミズホ,275,国分寺,コクブンジ
0001,みずほ,ミズホ,276,久米川,クメガワ
0001,みずほ,ミズホ,279,古河,コガ
0001,みずほ,ミズホ,280,千葉,チバ
0001,みずほ,ミズホ,281,湘南台,シヨウナンダイ
0001,みずほ,ミズホ,282,船橋,フナバシ
0001,みずほ,ミズホ,284,本八幡,モトヤワタ
0001,みずほ,ミズホ,286,松戸,マツド
0001,みずほ,ミズホ,287,勝田台,カツタダイ
0001,みずほ,ミズホ,288,行徳,ギヨウトク
0001,みずほ,ミズホ,290,横浜中央,ヨコハマチユウオウ
0001,みずほ,ミズホ,292,横浜駅前,ヨコハマエキマエ
0001,みずほ,ミズホ,294,新所沢,シントコロザワ
0001,みずほ,ミズホ,297,上尾,アゲオ
0001,みずほ,ミズホ,298,川越駅前,カワゴエエキマエ
0001,みずほ,ミズホ,299,鶴瀬,ツルセ
0001,みずほ,ミズホ,300,川口,カワグチ
0001,みずほ,ミズホ,302,草加,ソウカ
0001,みずほ,ミズホ,303,飯能,ハンノウ
0001,みずほ,ミズホ,305,わらび,ワラビ
0001,みずほ,ミズホ,306,南浦和,ミナミウラワ
0001,みずほ,ミズホ,307,久喜,クキ
0001,みずほ,ミズホ,308,朝霞,アサカ
0001,みずほ,ミズホ,310,前橋,マエバシ
0001,みずほ,ミズホ,311,高崎,タカサキ
0001,みずほ,ミズホ,312,足立,アダチ
0001,みずほ,ミズホ,316,水戸,ミト
0001,みずほ,ミズホ,318,上池上,カミイケガミ
0001,みずほ,ミズホ,319,外苑前,ガイエンマエ
0001,みずほ,ミズホ,320,松本,マツモト
0001,みずほ,ミズホ,322,錦糸町,キンシチヨウ
0001,みずほ,ミズホ,325,市川,イチカワ
0001,みずほ,ミズホ,326,鎌ヶ谷,カマガヤ
0001,みずほ,ミズホ,327,木更津,キサラヅ
0001,みずほ,ミズホ,329,柏,カシワ
0001,みずほ,ミズホ,332,八千代,ヤチヨ
0001,みずほ,ミズホ,333,北小金,キタコガネ
0001,みずほ,ミズホ,334,津田沼,ツダヌマ
0001,みずほ,ミズホ,335,成田,ナリタ
0001,みずほ,ミズホ,336,稲毛,イナゲ
0001,みずほ,ミズホ,338,五井,ゴイ
0001,みずほ,ミズホ,339,新松戸,シンマツド
0001,みずほ,ミズホ,340,ユーカリが丘,ユ－カリガオカ
0001,みずほ,ミズホ,341,西船橋,ニシフナバシ
0001,みずほ,ミズホ,342,新浦安,シンウラヤス
0001,みずほ,ミズホ,343,五香,ゴコウ
0001,みずほ,ミズホ,344,新杉田,シンスギタ
0001,みずほ,ミズホ,347,日野駅前,ヒノエキマエ
0001,みずほ,ミズホ,348,相模原,サガミハラ
0001,みずほ,ミズホ,351,中野,ナカノ
0001,みずほ,ミズホ,352,高砂,タカサゴ
0001,みずほ,ミズホ,353,新宿西口,シンジユクニシグチ
0001,みずほ,ミズホ,356,新横浜,シンヨコハマ
0001,みずほ,ミズホ,357,横浜,ヨコハマ
0001,みずほ,ミズホ,359,綱島,ツナシマ
0001,みずほ,ミズホ,361,横浜東口,ヨコハマヒガシグチ
0001,みずほ,ミズホ,362,鶴見,ツルミ
0001,みずほ,ミズホ,363,戸塚,トツカ
0001,みずほ,ミズホ,364,上大岡,カミオオオカ
0001,みずほ,ミズホ,365,二俣川,フタマタガワ
0001,みずほ,ミズホ,366,長津田,ナガツダ
0001,みずほ,ミズホ,367,三ツ境,ミツキヨウ
0001,みずほ,ミズホ,370,川崎,カワサキ
0001,みずほ,ミズホ,372,平塚,ヒラツカ
0001,みずほ,ミズホ,373,大船,オオフナ
0001,みずほ,ミズホ,374,茅ヶ崎,チガサキ
0001,みずほ,ミズホ,376,小田原,オダワラ
0001,みずほ,ミズホ,377,藤沢,フジサワ
0001,みずほ,ミズホ,378,武蔵小杉,ムサシコスギ
0001,みずほ,ミズホ,379,鷺沼,サギヌマ
0001,みずほ,ミズホ,380,相模大野,サガミオオノ
0001,みずほ,ミズホ,381,衣笠,キヌガサ
0001,みずほ,ミズホ,382,逗子,ズシ
0001,みずほ,ミズホ,383,秦野,ハタノ
0001,みずほ,ミズホ,385,大和,ヤマト
0001,みずほ,ミズホ,387,橋本,ハシモト
0001,みずほ,ミズホ,388,溝ノ口,ミゾノクチ
0001,みずほ,ミズホ,389,辻堂,ツジドウ
0001,みずほ,ミズホ,390,横須賀,ヨコスカ
0001,みずほ,ミズホ,391,鵠沼,クゲヌマ
0001,みずほ,ミズホ,392,追浜,オツパマ
0001,みずほ,ミズホ,393,新百合ヶ丘,シンユリガオカ
0001,みずほ,ミズホ,395,青葉台,アオバダイ
0001,みずほ,ミズホ,397,鴨居,カモイ
0001,みずほ,ミズホ,398,洋光台,ヨウコウダイ
0001,みずほ,ミズホ,400,新潟,ニイガタ
0001,みずほ,ミズホ,402,富山,トヤマ
0001,みずほ,ミズホ,406,福井,フクイ
0001,みずほ,ミズホ,408,甲府,コウフ
0001,みずほ,ミズホ,411,名古屋駅前,ナゴヤエキマエ
0001,みずほ,ミズホ,419,清水,シミズ
0001,みずほ,ミズホ,420,金沢,カナザワ
0001,みずほ,ミズホ,421,静岡,シズオカ
0001,みずほ,ミズホ,422,三島,ミシマ
0001,みずほ,ミズホ,426,長野,ナガノ
0001,みずほ,ミズホ,428,岐阜,ギフ
0001,みずほ,ミズホ,430,京都,キヨウト
0001,みずほ,ミズホ,431,名古屋,ナゴヤ
0001,みずほ,ミズホ,435,久が原,クガハラ
0001,みずほ,ミズホ,438,伏見,フシミ
0001,みずほ,ミズホ,440,大阪,オオサカ
0001,みずほ,ミズホ,444,阪急梅田,ハンキユウウメダ
0001,みずほ,ミズホ,445,成城,セイジヨウ
0001,みずほ,ミズホ,446,深川,フカガワ
0001,みずほ,ミズホ,447,大宮,オオミヤ
0001,みずほ,ミズホ,448,芦屋,アシヤ
0001,みずほ,ミズホ,453,豊橋,トヨハシ
0001,みずほ,ミズホ,454,一宮,イチノミヤ
0001,みずほ,ミズホ,455,岡崎,オカザキ
0001,みずほ,ミズホ,458,豊田,トヨタ
0001,みずほ,ミズホ,459,池田,イケダ
0001,みずほ,ミズホ,460,梅田,ウメダ
0001,みずほ,ミズホ,462,香里,コウリ
0001,みずほ,ミズホ,463,天満橋,テンマバシ
0001,みずほ,ミズホ,464,津,ツ
0001,みずほ,ミズホ,465,四日市,ヨツカイチ
0001,みずほ,ミズホ,466,伊勢,イセ
0001,みずほ,ミズホ,467,守口,モリグチ
0001,みずほ,ミズホ,468,茨木,イバラキ
0001,みずほ,ミズホ,469,大津,オオツ
0001,みずほ,ミズホ,470,難波,ナンバ
0001,みずほ,ミズホ,471,住吉,スミヨシ
0001,みずほ,ミズホ,473,京都中央,キヨウトチユウオウ
0001,みずほ,ミズホ,475,四条,シジヨウ
0001,みずほ,ミズホ,479,和泉中央,イズミチユウオウ
0001,みずほ,ミズホ,480,今里,イマザト
0001,みずほ,ミズホ,481,平野,ヒラノ
0001,みずほ,ミズホ,483,八尾,ヤオ
0001,みずほ,ミズホ,484,東大阪,ヒガシオオサカ
0001,みずほ,ミズホ,485,枚岡,ヒラオカ
0001,みずほ,ミズホ,486,生駒,イコマ
0001,みずほ,ミズホ,487,武蔵境,ムサシサカイ
0001,みずほ,ミズホ,489,西宮北口,ニシノミヤキタグチ
0001,みずほ,ミズホ,490,神戸,コウベ
0001,みずほ,ミズホ,491,灘,ナダ
0001,みずほ,ミズホ,492,名古屋中央,ナゴヤチユウオウ
0001,みずほ,ミズホ,493,長岡天神,ナガオカテンジン
0001,みずほ,ミズホ,495,垂水,タルミ
0001,みずほ,ミズホ,496,川西,カワニシ
0001,みずほ,ミズホ,497,尾久,オグ
0001,みずほ,ミズホ,498,名駅,メイエキ
0001,みずほ,ミズホ,502,大阪中央,オオサカチユウオウ
0001,みずほ,ミズホ,503,南船場,ミナミセンバ
0001,みずほ,ミズホ,507,堂島,ドウジマ
0001,みずほ,ミズホ,513,船場,センバ
0001,みずほ,ミズホ,516,阿倍野橋,アベノバシ
0001,みずほ,ミズホ,518,西野田,ニシノダ
0001,みずほ,ミズホ,521,岡山,オカヤマ
0001,みずほ,ミズホ,523,倉敷,クラシキ
0001,みずほ,ミズホ,525,福山,フクヤマ
0001,みずほ,ミズホ,527,千住,センジユ
0001,みずほ,ミズホ,529,阿佐ヶ谷,アサガヤ
0001,みずほ,ミズホ,530,桶川,オケガワ
0001,みずほ,ミズホ,531,麻布,アザブ
0001,みずほ,ミズホ,532,九段,クダン
0001,みずほ,ミズホ,533,自由が丘,ジユウガオカ
0001,みずほ,ミズホ,534,越谷,コシガヤ
0001,みずほ,ミズホ,535,熊谷,クマガヤ
0001,みずほ,ミズホ,537,豊洲,トヨス
0001,みずほ,ミズホ,538,多摩,タマ
0001,みずほ,ミズホ,539,赤坂,アカサカ
0001,みずほ,ミズホ,540,向ヶ丘,ムコウガオカ
0001,みずほ,ミズホ,541,浦和,ウラワ
0001,みずほ,ミズホ,542,大崎,オオサキ
0001,みずほ,ミズホ,544,駒沢,コマザワ
0001,みずほ,ミズホ,545,江戸川橋,エドガワバシ
0001,みずほ,ミズホ,546,立川,タチカワ
0001,みずほ,ミズホ,547,小田急相模原,オダキユウサガミハラ
0001,みずほ,ミズホ,548,八王子南口,ハチオウジミナミグチ
0001,みずほ,ミズホ,549,玉川学園前,タマガワガクエンマエ
0001,みずほ,ミズホ,550,鶴ヶ峰,ツルガミネ
0001,みずほ,ミズホ,551,シラカバ,シラカバ
0001,みずほ,ミズホ,552,ハナミズキ,ハナミズキ
0001,みずほ,ミズホ,553,サツキ,サツキ
0001,みずほ,ミズホ,554,四号,ヨンゴウ
0001,みずほ,ミズホ,555,サザンカ,サザンカ
0001,みずほ,ミズホ,556,日吉,ヒヨシ
0001,みずほ,ミズホ,557,王子,オウジ
0001,みずほ,ミズホ,558,所沢,トコロザワ
0001,みずほ,ミズホ,559,駒込,コマゴメ
0001,みずほ,ミズホ,560,インターネット,インタ－ネツト
0001,みずほ,ミズホ,561,西葛西,ニシカサイ
0001,みずほ,ミズホ,562,高槻,タカツキ
0001,みずほ,ミズホ,563,四ツ橋,ヨツバシ
0001,みずほ,ミズホ,564,九条,クジヨウ
0001,みずほ,ミズホ,565,塚口,ツカグチ
0001,みずほ,ミズホ,568,上野毛,カミノゲ
0001,みずほ,ミズホ,569,堺,サカイ
0001,みずほ,ミズホ,571,大阪東,オオサカヒガシ
0001,みずほ,ミズホ,574,山本,ヤマモト
0001,みずほ,ミズホ,576,枚方,ヒラカタ
0001,みずほ,ミズホ,578,吹田駅前,スイタエキマエ
0001,みずほ,ミズホ,582,江坂,エサカ
0001,みずほ,ミズホ,583,千歳船橋,チトセフナバシ
0001,みずほ,ミズホ,586,十三,ジユウソウ
0001,みずほ,ミズホ,587,出町,デマチ
0001,みずほ,ミズホ,589,せんげん台,センゲンダイ
0001,みずほ,ミズホ,590,浜松,ハママツ
0001,みずほ,ミズホ,591,千里中央,センリチユウオウ
0001,みずほ,ミズホ,592,鶴見駅前,ツルミエキマエ
0001,みずほ,ミズホ,593,京阪京橋,ケイハンキヨウバシ
0001,みずほ,ミズホ,594,小岩,コイワ
0001,みずほ,ミズホ,599,あざみ野,アザミノ
0001,みずほ,ミズホ,600,尼崎,アマガサキ
0001,みずほ,ミズホ,604,伊丹,イタミ
0001,みずほ,ミズホ,608,長田,ナガタ
0001,みずほ,ミズホ,609,キンモクセイ,キンモクセイ
0001,みずほ,ミズホ,611,北九州,キタキユウシユウ
0001,みずほ,ミズホ,612,八幡,ヤハタ
0001,みずほ,ミズホ,613,玉川,タマガワ
0001,みずほ,ミズホ,615,姫路,ヒメジ
0001,みずほ,ミズホ,616,明石,アカシ
0001,みずほ,ミズホ,618,浅草,アサクサ
0001,みずほ,ミズホ,619,大島出張所,オオシマ
0001,みずほ,ミズホ,620,奈良,ナラ
0001,みずほ,ミズホ,621,西大寺,サイダイジ
0001,みずほ,ミズホ,622,東京中央市場内出張所,トウキヨウイチバ
0001,みずほ,ミズホ,623,鹿児島,カゴシマ
0001,みずほ,ミズホ,624,和歌山,ワカヤマ
0001,みずほ,ミズホ,625,恵比寿ガーデン出張所,エビスガ－デン
0001,みずほ,ミズホ,626,ふじみ野,フジミノ
0001,みずほ,ミズホ,627,鳥取,トツトリ
0001,みずほ,ミズホ,628,大山,オオヤマ
0001,みずほ,ミズホ,629,雷門,カミナリモン
0001,みずほ,ミズホ,630,松江,マツエ
0001,みずほ,ミズホ,631,千束町,センゾクチヨウ
0001,みずほ,ミズホ,632,市が尾,イチガオ
0001,みずほ,ミズホ,635,上永谷出張所,カミナガヤ
0001,みずほ,ミズホ,636,広島,ヒロシマ
0001,みずほ,ミズホ,639,モクレン,モクレン
0001,みずほ,ミズホ,640,クヌギ,クヌギ
0001,みずほ,ミズホ,641,下関出張所,シモノセキ
0001,みずほ,ミズホ,642,徳山,トクヤマ
0001,みずほ,ミズホ,643,山口,ヤマグチ
0001,みずほ,ミズホ,644,東武,トウブ
0001,みずほ,ミズホ,645,徳島,トクシマ
0001,みずほ,ミズホ,646,モミノキ,モミノキ
0001,みずほ,ミズホ,647,高松,タカマツ
0001,みずほ,ミズホ,649,ＰａｙＰａｙカード,ペイペイカ－ド
0001,みずほ,ミズホ,650,今治,イマバリ
0001,みずほ,ミズホ,651,松山,マツヤマ
0001,みずほ,ミズホ,652,二十三号,ニジユウサンゴウ
0001,みずほ,ミズホ,653,高知,コウチ
0001,みずほ,ミズホ,654,ユリノキ,ユリノキ
0001,みずほ,ミズホ,659,二十四号,ニジユウヨンゴウ
0001,みずほ,ミズホ,660,福岡,フクオカ
0001,みずほ,ミズホ,661,久留米,クルメ
0001,みずほ,ミズホ,662,菊名出張所,キクナ
0001,みずほ,ミズホ,663,ツツジ,ツツジ
0001,みずほ,ミズホ,664,門司出張所,モジ
0001,みずほ,ミズホ,665,宮前平,ミヤマエダイラ
0001,みずほ,ミズホ,670,東陽町,トウヨウチヨウ
0001,みずほ,ミズホ,672,緑園都市,リヨクエントシ
0001,みずほ,ミズホ,675,熊本,クマモト
0001,みずほ,ミズホ,676,佐賀,サガ
0001,みずほ,ミズホ,677,守谷,モリヤ
0001,みずほ,ミズホ,678,海老名,エビナ
0001,みずほ,ミズホ,679,長崎,ナガサキ
0001,みずほ,ミズホ,681,二十六号,ニジユウロクゴウ
0001,みずほ,ミズホ,685,大分,オオイタ
0001,みずほ,ミズホ,688,宮崎,ミヤザキ
0001,みずほ,ミズホ,689,光が丘,ヒカリガオカ
0001,みずほ,ミズホ,690,二十七号,ニジユウナナゴウ
0001,みずほ,ミズホ,692,ＰａｙＰａｙカード第二,ペイペイカ－ドダイニ
0001,みずほ,ミズホ,693,那覇,ナハ
0001,みずほ,ミズホ,694,ブナ,ブナ
0001,みずほ,ミズホ,697,つくば,ツクバ
0001,みずほ,ミズホ,698,学園前,ガクエンマエ
0001,みずほ,ミズホ,699,羽田空港第二出張所,ハネダクウコウダイニ
0001,みずほ,ミズホ,701,館林,タテバヤシ
0001,みずほ,ミズホ,705,宇都宮,ウツノミヤ
0001,みずほ,ミズホ,706,栃木,トチギ
0001,みずほ,ミズホ,707,足利,アシカガ
0001,みずほ,ミズホ,708,小山,オヤマ
0001,みずほ,ミズホ,710,いわき,イワキ
0001,みずほ,ミズホ,712,取手,トリデ
0001,みずほ,ミズホ,713,日立,ヒタチ
0001,みずほ,ミズホ,715,福島,フクシマ
0001,みずほ,ミズホ,720,秋田,アキタ
0001,みずほ,ミズホ,722,釧路,クシロ
0001,みずほ,ミズホ,723,仙台,センダイ
0001,みずほ,ミズホ,724,郡山,コオリヤマ
0001,みずほ,ミズホ,725,会津,アイヅ
0001,みずほ,ミズホ,728,山形,ヤマガタ
0001,みずほ,ミズホ,729,江古田,エコダ
0001,みずほ,ミズホ,730,青森,アオモリ
0001,みずほ,ミズホ,731,清瀬,キヨセ
0001,みずほ,ミズホ,732,盛岡,モリオカ
0001,みずほ,ミズホ,735,函館,ハコダテ
0001,みずほ,ミズホ,736,経堂,キヨウドウ
0001,みずほ,ミズホ,738,たまプラーザ,タマプラ－ザ
0001,みずほ,ミズホ,739,上福岡,カミフクオカ
0001,みずほ,ミズホ,742,十日市場,トオカイチバ
0001,みずほ,ミズホ,743,港北ニュータウン,コウホクニユ－タウン
0001,みずほ,ミズホ,744,永福町,エイフクチヨウ
0001,みずほ,ミズホ,745,東青梅,ヒガシオウメ
0001,みずほ,ミズホ,746,稲毛海岸,イナゲカイガン
0001,みずほ,ミズホ,747,東久留米,ヒガシクルメ
0001,みずほ,ミズホ,752,三郷,ミサト
0001,みずほ,ミズホ,753,鎌取出張所,カマトリ
0001,みずほ,ミズホ,754,八千代緑が丘,ヤチヨミドリガオカ
0001,みずほ,ミズホ,755,大島駅前出張所,オオジマエキマエ
0001,みずほ,ミズホ,758,厚木,アツギ
0001,みずほ,ミズホ,759,さいたま新都心出張所,サイタマシントシン
0001,みずほ,ミズホ,760,鎌倉,カマクラ
0001,みずほ,ミズホ,764,西川口,ニシカワグチ
0001,みずほ,ミズホ,768,高幡不動,タカハタフドウ
0001,みずほ,ミズホ,769,池尻大橋,イケジリオオハシ
0001,みずほ,ミズホ,770,稲城中央,イナギチユウオウ
0001,みずほ,ミズホ,777,東京都庁出張所,トウキヨウトチヨウ
0001,みずほ,ミズホ,782,南大沢,ミナミオオサワ
0001,みずほ,ミズホ,784,羽田空港出張所,ハネダクウコウ
0001,みずほ,ミズホ,785,日本橋浜町出張所,ニホンバシハマチヨウ
0001,みずほ,ミズホ,794,第二集中,ダイニシユウチユウ
0001,みずほ,ミズホ,795,第三集中,ダイサンシユウチユウ
0001,みずほ,ミズホ,796,第四集中,ダイヨンシユウチユウ
0001,みずほ,ミズホ,797,第五集中,ダイゴシユウチユウ
0001,みずほ,ミズホ,798,第六集中,ダイロクシユウチユウ
0001,みずほ,ミズホ,799,第七集中,ダイナナシユウチユウ
0001,みずほ,ミズホ,813,札幌,サツポロ
0001,みずほ,ミズホ,814,旭川,アサヒカワ
0001,みずほ,ミズホ,815,帯広,オビヒロ
0001,みずほ,ミズホ,822,集中第一,シユウチユウダイイチ
0001,みずほ,ミズホ,832,第八集中,ダイハチシユウチユウ
0001,みずほ,ミズホ,833,第九集中,ダイキユウシユウチユウ
0001,みずほ,ミズホ,834,第十集中,ダイジユウシユウチユウ
0001,みずほ,ミズホ,835,第十一集中,ダイジユウイチシユウチユウ
0001,みずほ,ミズホ,838,東戸塚,ヒガシトツカ
0001,みずほ,ミズホ,842,武蔵浦和,ムサシウラワ
0001,みずほ,ミズホ,846,瑞江出張所,ミズエ
0001,みずほ,ミズホ,890,ＡＴＭ統括,エイテイ－エムトウカツ
0001,みずほ,ミズホ,893,市川妙典,イチカワミヨウデン
0001,みずほ,ミズホ,895,八丈島出張所,ハチジヨウジマ
